date,特锐德,乐普医疗,安科生物,豆神教育,华测检测,亿纬锂能,爱尔眼科,网宿科技,机器人,红日药业,同花顺,数知科技,蓝色光标,东方财富,碧水源,三聚环保,当升科技,思创医惠,长信科技,高新兴,顺网科技,长盈精密,智飞生物,汇川技术,华策影视,信维通信,沃森生物,宋城演艺,汤臣倍健,东方国信,万达信息,华峰超纤,捷成股份,美亚柏科,欣旺达,易华录,北京君正,上海钢联,迪安诊断,光线传媒,卫宁健康,华宇软件,阳光电源,国瓷材料,博雅生物,利亚德,中际旭创,掌趣科技,晶盛机电,旋极信息,泰格医药,我武生物,绿盟科技,光环新网,三环集团,芒果超媒,昆仑万维,蓝思科技,先导智能,创业慧康,赢合科技,金科文化,迈克生物,景嘉微,胜宏科技,万孚生物,中科创达,温氏股份,健帆生物
2018-02-01,0.8891452316993003,0.4627157346369428,0.6753454892398186,,0.43787331341354246,0.7574816485569129,0.2631573909953733,0.31296066190422456,0.7965239257178188,0.7053662111287292,0.8393582344306628,,0.721395248502891,0.8716932110898664,0.8093556981382225,0.44335865280875514,0.5991988026206455,0.8851350600442066,0.890070003706487,0.8098452487520891,0.8012346049827203,0.5140008394151473,0.12366816813628707,0.43727894142496254,0.7271229525690802,-0.21140831413580038,0.39944101677392335,0.8264120270654749,0.4567877691478853,0.48943187665548454,0.7947469320338032,0.2937097699941078,0.6757864028995973,0.4793652095166106,0.6356477816884601,0.6995762792713897,0.6075842865284368,0.5615443812840843,0.6820035573244064,0.7075691668196663,0.5701193018459699,0.7364844351130772,0.4862492534179648,0.4933259425070955,0.34444734581210207,0.5660361695062885,0.4746473239715513,0.8591949486891595,0.3787620472931541,0.4986140949804553,0.17552521666884327,0.4718124296194571,0.4960126665976182,,0.5091720436962414,0.5089259470648455,0.6420741593152819,0.4014706070907676,0.39728439711087626,0.6467868452601404,0.22770432910522592,0.4884524217604019,0.631375215568877,0.8122166732887379,0.15294919141103674,0.17156940845877486,0.8178470962165681,0.5467910989186259,0.6009913624178467
2018-02-02,0.8897425506922569,0.4949567452677148,0.6965109956256775,,0.42479454868172895,0.7612818037467909,0.2318803881977143,0.31193044710516543,0.7796440772763277,0.6950990769227434,0.8365580079107994,,0.6984340901940428,0.8728336881421668,0.7316713198150707,0.43231129774458804,0.627144159746154,0.8862186887070457,0.8977199220489509,0.8365695331709956,0.8020114779267007,0.5290116787150804,0.11835003358055296,0.4740038441216113,0.6990076023748751,-0.14556413878855481,0.39538802383946287,0.8214347090633908,0.4696383983358595,0.4974874059535,0.7969877772539031,0.2891160686259433,0.6479432975697113,0.4627045573597414,0.6319670457961493,0.6985260550333211,0.6060018416039783,0.5622634761567743,0.6537511667532111,0.7085341403487453,0.577926484651731,0.7516991239846835,0.47325867021516665,0.49436599962743744,0.3657368291831583,0.5717773953285099,0.48801381292061896,0.8654248199963455,0.45440270557009577,0.5271881214776051,0.10034013583089524,0.4866675996055703,0.5114271096305265,,0.5363159102818189,0.5121130843482804,0.5295787845447782,0.4185323537169151,0.3987357342712559,0.5971874225544652,0.2380357710203572,0.5106264990477546,0.6143352074339031,0.8214001332362453,0.14506418863498496,0.16247126992280855,0.8288144861613551,0.5385043347292038,0.6180582676532766
2018-02-05,0.8693287520228393,0.47402637544469434,0.7015680254175409,,0.4310299761601549,0.76896703404405,0.23902697754996227,0.3105234610379958,0.7627214630453002,0.6958485904150348,0.8372263325975798,,0.7006746104340306,0.8725891167413782,0.7015060341703541,0.4047368092631262,0.6308892009173883,0.8768419817124662,0.9124103060290545,0.842625892284224,0.8231528637161797,0.529970441760551,0.14605236043430753,0.48338097504516947,0.7415033288502046,-0.12381690131867058,0.39697550580505914,0.8365857833548167,0.47799861852000974,0.5100895958618606,0.7640041734551362,0.29250203285245147,0.6317873749349447,0.49736483390657604,0.658859175934209,0.6966575248260651,0.6287202647623186,0.5573306466425698,0.6616093121702694,0.7310139384994713,0.5991225926584939,0.7660158727303545,0.4952478485512995,0.5450523350897756,0.4077616077803154,0.6070095514114046,0.5053289529163214,0.8573419336907151,0.439405058537495,0.5325137742120605,0.12021689062694212,0.6047627344621085,0.5321056690878526,,0.553307442614736,0.5371060269280874,0.5714184102683155,0.44482514291745245,0.3943218937953013,0.5536401189922164,0.2507806829174975,0.49228091384459305,0.6531391840895464,0.8515882424656023,0.049220852104652525,0.15168008431195845,0.8279368386436498,0.5807488657857961,0.6662981247922659
2018-02-06,0.9219392522528103,0.6807204881277902,0.701454136532189,,0.6774094120363631,0.8562876077320305,0.5198509069260819,0.5428077592094964,0.8454982085363558,0.8188619240298547,0.8519119152013784,,0.6173904100011397,0.9116892678752623,0.8137453480425969,0.7042970088830212,0.7771289077919679,0.8875872255832509,0.9429415180098747,0.9131722878643385,0.7506579927881764,0.6709292509061571,0.2980115049307457,0.5684558574605835,0.717660037476413,-0.04537026095560244,0.44041371817538616,0.8936561106670637,0.46452707424236495,0.5552066754285394,0.7130785886291164,0.15373942677384375,0.7988754234903039,0.6273628764771243,0.7832719379154995,0.3787483192874037,0.7362096690705493,0.6050275292751334,0.7391394032628972,0.7229462853538127,0.577648460503251,0.8589800763954963,0.5251624026629981,0.5710225379664023,0.35271923245115533,0.686366907623845,0.5339924683008849,0.8102003214901795,0.6341135250232546,0.5970166391939704,0.38816912564960016,0.7749016902405457,0.4812134637464491,,0.6860793214506724,0.5942361624402928,0.6849036285175494,0.5743453558513913,0.364364419349491,-0.003596701587254804,0.6421540802118378,0.3710164790718344,0.7316378666329063,0.8978777178361289,0.3115938051727322,0.5466790601833762,0.881964006819073,0.7496297274783368,0.5503808239479843
2018-02-07,0.922577024871112,0.6722029350509731,0.6813049363138602,,0.52929635769929,0.8633588443233403,0.5593824345253228,0.5069349272692453,0.8505359472090913,0.7957368519109189,0.856765471323558,,0.6389612865450637,0.9121149495988197,0.8130126876842544,0.5826638730809488,0.8281280942190457,0.9108686640271493,0.940880389710641,0.9502564482226237,0.7636593030323954,0.6536513044237912,0.359882444516392,0.458415565822189,0.7321949587330746,-0.056910457238440085,0.39895908055801177,0.8943716742736234,0.44595310925049725,0.5874811493115605,0.7285022940319158,0.2339770554015682,0.7727141985575138,0.6898843349217785,0.77923654665972,0.42546500571477197,0.7581673220378433,0.6222437682112316,0.7107239480479927,0.7377007856167248,0.6032106516265389,0.7967481462398733,0.5532918443730769,0.6092436730872844,0.3351462458181457,0.7042340634328557,0.5084746973261552,0.824197371648511,0.549614162754337,0.6176168515311216,0.41082873735802933,0.7866607869460582,0.4638557880801311,,0.7140723944594277,0.6184361421342616,0.7066141999441121,0.6079394696032532,0.39796047571037185,0.03304419419529332,0.5149981211027064,0.39696299274189906,0.7688756321592305,0.8487170844712946,0.37041851730147857,0.48614155762639244,0.8771223443347123,0.7394215433731788,0.5537092036887928
2018-02-08,0.9189840916827163,0.7216699920957836,0.7107198070669013,,0.5580853547258698,0.8710433859703168,0.5430197448345838,0.5391812667258079,0.8407414294532971,0.7964945510068192,0.6893273540270124,,0.5858187826482716,0.8409773917167446,0.8210889620520024,0.5823369952015081,0.8520485258598389,0.9153253332417003,0.9225359306579175,0.9585897560613854,0.7392837164855041,0.6643001127898261,0.3638062650177497,0.532886223401416,0.6449307904605734,0.04909025625867161,0.41817404718588413,0.906407366547361,0.42590257374261636,0.596361883757462,0.7253146851808108,0.23692239468008558,0.7564627610273161,0.6953875476902625,0.7825919820201914,0.330088913569286,0.7940126950244583,0.6313029199537058,0.7203232492638527,0.6863961579934263,0.5474254795843082,0.8060773205606689,0.4966310141099773,0.6309676749977077,0.14541898706670864,0.719922849058929,0.5512410042523038,0.8342640929842058,0.5819711021810082,0.6380745317321675,0.45190157508603485,0.7762958126210673,0.41108863851199706,,0.7286570354477628,0.6680975822917052,0.6864400309535947,0.6430802812644395,0.4385556011833361,0.08190725095818965,0.5138266883226841,0.4067960758127099,0.7711823085821183,0.8362448652057198,0.42724523627177446,0.49472479480866394,0.8824338021897902,0.7406988836594456,0.5534742665054198
2018-02-09,0.9276813789137891,0.7483007992765428,0.724460222133553,,0.612189571063028,0.770666411436162,0.584503845874928,0.5015432268249747,0.848459771518604,0.8054656967856365,0.714343983956335,,0.6273732111734865,0.8346899208304047,0.7795118105314549,0.6111766074393273,0.7757188619989211,0.8687724664852516,0.8844164074175542,0.9052276452754177,0.7518230825477548,0.6686849909593509,0.2929090046093253,0.5895979900858119,0.6639101025309513,0.029467520607599544,0.4221467464193325,0.9146819598437531,0.4409477717868118,0.5431478287295719,0.7685819325951585,0.22915003137457118,0.7782159073664584,0.6959957005800977,0.7853557803727967,0.3701941731904535,0.7863348350412943,0.6321965626840947,0.7292311109092792,0.7155086629197746,0.5991703649128075,0.8216615508880041,0.5450723530262305,0.6554328553681043,0.26207246404643736,0.711375320229374,0.5134597043502344,0.8205128582819621,0.544803915190932,0.6510271265134797,0.5067427461867315,0.7833493323814016,0.4299958494339471,,0.7454134879805439,0.7010614633174683,0.6958250872347121,0.6317470683334729,0.31758051058503756,0.13873523604307808,0.518357107699702,0.4555752571389847,0.7798219328051005,0.8353200130853909,0.42606748045663406,0.52464595291493,0.8843302059065005,0.7849857025426288,0.5876428432571735
2018-02-12,0.923764925680179,0.7988003608356085,0.7451338139542848,,0.6488498218476728,0.7975830832718205,0.6671439521356184,0.6672230972350671,0.8464222515615815,0.8510790023775784,0.6761710061187994,,0.5700631078691825,0.7736582292522762,0.7593047805669002,0.6780544865070224,0.7946326856551071,0.848673148092793,0.8514386750137575,0.9016984564698488,0.7043188662601203,0.6929834403922797,0.3348331464417149,0.6582555030924292,0.6553385965268874,0.1275684067623052,0.531374428030036,0.9222543085923767,0.3096532369933874,0.5682953755578624,0.7958689201638263,0.21859236482262973,0.7419677905140839,0.7315277621127552,0.7996616371128166,0.43811204684034216,0.8012472072835233,0.6852588815476222,0.7462371772766792,0.6660512812574428,0.665921394872106,0.8525125135725101,0.6269036198703056,0.709535866268237,0.31824216225004065,0.6980558969195839,0.5385774310348477,0.7460399559882823,0.6303113023670582,0.7252813952399123,0.5908627629341602,0.795399845683594,-0.16954110344666895,,0.7837498950380773,0.7370740802068151,0.7755236263180229,0.6724562705810246,0.3807277200603083,0.22428613255419175,0.6609946259937571,0.47454950549526215,0.7913169182176084,0.8210598615081989,0.5538671748473624,0.6206905897790453,0.8664716123399906,0.7617459358572652,0.5530413499727529
2018-02-13,0.9227949223696967,0.7992024636872814,0.7562496145541038,,0.6440506775500607,0.790905511949631,0.745476849848331,0.6655993823395543,0.844969543647431,0.8580175131287225,0.675939258728155,,0.5682019192732428,0.7711962695684073,0.7539246985206544,0.6810709813631328,0.7943683261375009,0.80465820034249,0.8451106527866703,0.9079138782808162,0.7039557141719419,0.7552093077557493,0.3390538389788318,0.6445554397853062,0.6529524847848214,0.13429866627655748,0.67551843350805,0.9173412376809715,0.33257586571987835,0.5595599675593197,0.7845434491458354,0.18997222596003033,0.7327198858593523,0.7723899531924524,0.8009884665725412,0.4387346932891872,0.8143430817866827,0.6689144747647526,0.7704353734150413,0.6668510420404075,0.6375946277335368,0.8934166699529176,0.6309694103867322,0.6752169419866177,0.3120197930431373,0.7219827903959608,0.5496573520650274,0.7354971693478317,0.630928570174976,0.7475468391836437,0.5835828488418562,0.8065958014747456,-0.10174283274742028,,0.7960845669830966,0.7353319359087033,0.7828700126964805,0.7316071167175154,0.3828552792540983,0.21579802344208296,0.6605523132347784,0.4708530722883505,0.7939420854020044,0.8168587668092375,0.5525990159622928,0.6234881016552613,0.864675584542925,0.8288995532307024,0.5509994137427268
2018-02-14,0.7764235224715378,0.8235253618956871,0.7603753042289181,,0.5728558648508338,0.8039820317747821,0.7179452645040418,0.6960575796368091,0.8436904949075092,0.8562097398440671,0.6713217985379069,,0.5146335333889381,0.7659510406565091,0.750612996048851,0.6879213347179112,0.7857168071716139,0.7858553418935114,0.8416541400050165,0.9070977419568802,0.6611239770585403,0.8426593207238051,0.33010327314249466,0.669042647524911,0.6262727123164767,0.10384850406838161,0.7161675513597267,0.9148869183924485,0.315420027806594,0.5516493772237867,0.7614373920956623,0.18099174475218244,0.7337066172716851,0.7840656613183494,0.80244124872463,0.46104440984905015,0.8149343626045983,0.668042082914566,0.7672692763000311,0.6631335635533356,0.6394423166870827,0.8990867291000482,0.6274357096638665,0.6779966122752575,0.2957510383564112,0.7244354928886506,0.5495515343149382,0.6817401590064737,0.6296677035383349,0.7494732513645758,0.593176024777125,0.7913771411911719,-0.095246239388711,,0.790472045386312,0.7253504074389252,0.775357199396801,0.70907675911138,0.42056247591693663,0.23240937852482096,0.6773695853523743,0.46681477177457453,0.7984800695861182,0.8151523113778831,0.5802495973603836,0.6170240189600076,0.8641834571433844,0.7925989272526557,0.5433104331479621
