date,特锐德,乐普医疗,安科生物,豆神教育,华测检测,亿纬锂能,爱尔眼科,网宿科技,机器人,红日药业,同花顺,数知科技,蓝色光标,东方财富,碧水源,三聚环保,当升科技,思创医惠,长信科技,高新兴,顺网科技,长盈精密,智飞生物,汇川技术,华策影视,信维通信,沃森生物,宋城演艺,汤臣倍健,东方国信,万达信息,华峰超纤,捷成股份,美亚柏科,欣旺达,易华录,北京君正,上海钢联,迪安诊断,光线传媒,卫宁健康,华宇软件,阳光电源,国瓷材料,博雅生物,利亚德,中际旭创,掌趣科技,晶盛机电,旋极信息,泰格医药,我武生物,绿盟科技,光环新网,三环集团,芒果超媒,昆仑万维,蓝思科技,先导智能,创业慧康,赢合科技,金科文化,迈克生物,景嘉微,胜宏科技,万孚生物,中科创达,温氏股份,健帆生物
2019-09-30,20000.0,20000.0,18849.420000000002,32273.32000000002,20000.0,20000.0,20000.0,20000.0,19787.62,20000.0,20000.0,18656.940000000002,28536.109999999997,20000.0,14671.42,15628.5,20000.0,20000.0,22030.43000000001,18552.510000000006,37840.55000000001,22645.73,20000.0,20000.0,16786.29,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,21646.01,17277.13,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14546.590000000004,20000.0,28932.019999999997,20000.0,14223.64,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,18920.21,17848.359999999993,20000.0,23671.88,20000.0,9668.200000000006,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-08,20000.0,20000.0,18849.420000000002,31422.28000000002,20000.0,20000.0,20000.0,20000.0,19801.28,20000.0,20000.0,18394.99,28536.109999999997,20000.0,14518.960000000001,15453.64,20000.0,20000.0,22030.43000000001,18633.270000000004,37840.55000000001,22645.73,20000.0,20000.0,16330.350000000002,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,21930.84,16722.850000000002,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14254.970000000005,20000.0,28932.019999999997,20000.0,14033.239999999998,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,18981.769999999997,17848.359999999993,20000.0,22899.530000000002,20000.0,8932.520000000006,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-09,20000.0,20000.0,18849.420000000002,32344.24000000002,20000.0,20000.0,20000.0,20000.0,19924.219999999998,20000.0,20000.0,18475.590000000004,28536.109999999997,20000.0,14518.960000000001,15703.439999999999,20000.0,20000.0,22030.43000000001,18875.550000000007,37840.55000000001,22645.73,20000.0,20000.0,16305.020000000002,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,22456.68,18385.690000000002,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14171.650000000003,20000.0,28932.019999999997,20000.0,14223.64,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,19135.67,17848.359999999993,20000.0,22696.28,20000.0,9233.480000000007,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-10,20000.0,20000.0,18849.420000000002,35181.04000000002,20000.0,20000.0,20000.0,20000.0,20142.78,20000.0,20000.0,18656.940000000002,28536.109999999997,20000.0,14845.660000000002,15878.3,20000.0,20000.0,22030.43000000001,19225.510000000006,37840.55000000001,22645.73,20000.0,20000.0,16912.940000000002,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,22434.77,19078.54,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14254.970000000005,20000.0,28932.019999999997,20000.0,14305.24,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,19289.57,17848.359999999993,20000.0,23211.179999999997,20000.0,9166.600000000006,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-11,20000.0,20000.0,18849.420000000002,35181.04000000002,20000.0,20000.0,20000.0,20000.0,20088.14,20000.0,20000.0,18797.99,28536.109999999997,20000.0,14867.44,15778.38,20000.0,20000.0,22030.43000000001,19252.430000000004,37840.55000000001,22645.73,20000.0,20000.0,16862.280000000002,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,21974.66,19170.920000000002,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14088.330000000004,20000.0,28932.019999999997,20000.0,14414.039999999999,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,19381.91,17848.359999999993,20000.0,23292.48,20000.0,10069.480000000007,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-14,20000.0,20000.0,18849.420000000002,35181.04000000002,20000.0,20000.0,20000.0,20000.0,20279.379999999997,20000.0,20000.0,19321.890000000003,28536.109999999997,20000.0,15477.28,16028.179999999998,20000.0,20000.0,22030.43000000001,19306.270000000004,37840.55000000001,22645.73,20000.0,20000.0,16786.29,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,22193.76,19032.35,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14400.780000000002,20000.0,28932.019999999997,20000.0,15121.239999999998,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,19705.1,17848.359999999993,20000.0,24227.429999999997,20000.0,11072.680000000006,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-15,20000.0,20000.0,18849.420000000002,35181.04000000002,20000.0,20000.0,20000.0,20000.0,19678.339999999997,20000.0,20000.0,18274.09,28536.109999999997,20000.0,15586.18,15728.419999999998,20000.0,20000.0,22030.43000000001,17394.950000000004,37840.55000000001,22645.73,20000.0,20000.0,16634.31,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,22193.76,19124.73,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14671.570000000003,20000.0,28932.019999999997,20000.0,15121.239999999998,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,20459.21,17848.359999999993,20000.0,23238.280000000002,20000.0,10270.120000000004,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-16,20000.0,20000.0,18849.420000000002,35181.04000000002,20000.0,20000.0,20000.0,20000.0,19610.039999999997,20000.0,20000.0,18294.24,28536.109999999997,20000.0,15651.52,15728.419999999998,20000.0,20000.0,22030.43000000001,16237.390000000005,37840.55000000001,22645.73,20000.0,20000.0,16406.340000000004,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,22588.14,19494.25,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14338.290000000005,20000.0,28932.019999999997,20000.0,14604.439999999997,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,20305.31,17848.359999999993,20000.0,24064.83,20000.0,10504.200000000006,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-17,20000.0,20000.0,18849.420000000002,35181.04000000002,20000.0,20000.0,20000.0,20000.0,19582.719999999998,20000.0,20000.0,18294.24,28536.109999999997,20000.0,15411.94,15303.759999999998,20000.0,20000.0,22030.43000000001,16371.990000000003,37840.55000000001,22645.73,20000.0,20000.0,16482.33,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,22807.24,19263.300000000003,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14504.930000000004,20000.0,28932.019999999997,20000.0,15638.039999999999,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,20874.739999999998,17848.359999999993,20000.0,24850.729999999996,20000.0,10637.960000000006,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
2019-10-18,20000.0,20000.0,18849.420000000002,35181.04000000002,20000.0,20000.0,20000.0,20000.0,19350.499999999996,20000.0,20000.0,17689.74,28536.109999999997,20000.0,15390.160000000002,15328.74,20000.0,20000.0,22030.43000000001,15995.110000000004,37840.55000000001,22645.73,20000.0,20000.0,16330.350000000002,20000.0,20000.0,24222.100000000002,20000.0,24161.640000000003,27470.990000000005,22829.15,19725.2,20000.0,20000.0,20000.0,20000.0,20000.0,30189.639999999996,20000.0,22177.88,20000.0,20000.0,22115.44,21391.76,14359.120000000004,20000.0,28932.019999999997,20000.0,15556.439999999999,20000.0,21092.210000000003,20000.0,20000.0,20000.0,20000.0,20551.55,17848.359999999993,20000.0,24755.879999999997,20000.0,10437.320000000005,26363.040000000005,20000.0,22433.469999999998,20410.04,20000.0,20000.0,20000.0
