date,特锐德,乐普医疗,安科生物,豆神教育,华测检测,亿纬锂能,爱尔眼科,网宿科技,机器人,红日药业,同花顺,数知科技,蓝色光标,东方财富,碧水源,三聚环保,当升科技,思创医惠,长信科技,高新兴,顺网科技,长盈精密,智飞生物,汇川技术,华策影视,信维通信,沃森生物,宋城演艺,汤臣倍健,东方国信,万达信息,华峰超纤,捷成股份,美亚柏科,欣旺达,易华录,北京君正,上海钢联,迪安诊断,光线传媒,卫宁健康,华宇软件,阳光电源,国瓷材料,博雅生物,利亚德,中际旭创,掌趣科技,晶盛机电,旋极信息,泰格医药,我武生物,绿盟科技,光环新网,三环集团,芒果超媒,昆仑万维,蓝思科技,先导智能,创业慧康,赢合科技,金科文化,迈克生物,景嘉微,胜宏科技,万孚生物,中科创达,温氏股份,健帆生物
2019-01-09,0.0006046277617187817,-0.15953598372946104,-0.061566585729086264,-0.0800522042428704,0.029156437258077796,0.11544490852378725,-0.08455509147621282,0.10128489013841682,0.05430291949162486,0.028606772459645043,0.02941172602001655,0.07941111263597683,0.041018010918081646,0.044824586816509,-0.07787397916129762,-0.12052060089304958,-0.009046691829882013,0.07411760837295785,-0.02029293592775016,0.12272632766961314,-0.029543436464557753,0.012078026184942213,-0.009143059199052776,0.06299431469388311,-0.0668478361007959,-0.11413622744032736,0.03416764498511295,-0.012678386620784472,-0.12450051469775175,-0.03328389583583848,-0.019907403206477138,-0.027346877836463952,-0.03669715231392579,0.05366353200556869,-0.019398786593880522,0.0759963515020084,-0.006808453326890042,-0.04115683279207314,-0.01380937897945795,0.12780647691648403,0.0043789946954424785,0.04883696176316868,0.012384528044051928,0.01740349415584238,-0.09938649876294753,-0.033981711757104356,-0.03381983157579851,-0.006029450450571662,-0.021006927928049153,-0.08782959475071603,-0.14218333582687198,-0.017881782056789454,0.09519492312573807,0.11721821310083011,-0.015084743176769284,0.0059680369866142585,0.0010748660961909032,-0.0852513047552074,-0.006880949088173875,0.10227628906377698,-0.02529257292701855,0.015247145294109185,-0.06398949887672187,-0.04178496609962248,-0.05064438399240121,-0.15199641645442033,0.09352283444032998,0.11606301398618327,-0.017985349648738956
2019-01-10,-0.010189055278670311,-0.17594783602606867,-0.08072714418444538,-0.0692048926170859,0.038288813262363164,0.043300348766079924,-0.07372393444396227,0.09413647174712085,0.04952956671313724,0.04075663157757686,0.03855998063791485,0.0804859110990941,0.04198299142462636,0.029332850867509034,-0.11367110551577769,-0.1268901758654274,-0.03573660441577482,0.04870657386390465,-0.013048698876773568,0.154053597983422,-0.014820555905236774,0.02389358974426148,-0.013405551529069165,0.061885594621893185,-0.0767474401549671,-0.06451622364601722,0.03527600332228932,0.04005565412960539,-0.1457103703694549,-0.023128538137031113,-0.034700105525556274,-0.04612564790352519,-0.03981347298053377,0.06594838773044821,-0.0253402513703144,0.07773875476659664,-0.0032412642019843813,-0.015014215127476235,-0.0336499302259944,0.1093103069662277,-0.05198837585351383,0.05892438336601834,0.05435707567371074,0.034713338001126914,-0.0957287086400149,-0.06088628484490083,-0.01010672214049707,0.025444674098907508,0.0012776130143298883,-0.022279829088194106,-0.13522625765962273,-0.020258925790166152,0.08990248765872931,0.13990862273559307,0.002848991096596247,0.013315409007043928,0.023772859700981128,-0.058081649816485545,-0.03269649575486078,0.05731947975381549,-0.023823965572646585,0.01845135065160635,-0.08036221463589927,-0.03474983647099235,-0.04628864071228243,-0.15774228330064827,0.12120639193082558,0.11926122649753826,-0.026771929666743216
2019-01-11,-0.06775768854870302,-0.17072297096062583,-0.08065550824211283,-0.0420638138563692,0.0017871492457955246,0.054741356312651,-0.07767504392060394,0.05822371640997463,0.06519107652475221,0.03955159802991228,0.03371882358611626,0.11968204974330807,0.049322201258459396,0.02066706988429485,-0.10722243343393793,-0.14436510508049322,-0.024745614445044,-0.007093014731224631,0.002490245335594478,0.1693250466134175,-0.017357074158680014,0.052681263579785975,-0.012675438623089286,0.045996925062520795,-0.07632450975410517,-0.07769688831569609,-0.0005262835900254198,0.04447371640997468,-0.15692163242723478,-0.010631768822092796,-0.04291927969897473,-0.03804865950540373,-0.030764378828120623,0.07802578488358383,-0.008157862537393756,0.07086933084579007,-0.00834181757060791,0.03163789551445225,-0.035118595762419144,0.12808694796213735,-0.11944348104225473,0.04610766194512349,0.04791056941204499,0.017975438568413063,-0.08927048504794456,-0.07768314633512345,-0.009022942832787026,0.020202883076641295,-0.0029215477066009965,-0.015883426447168253,-0.12463150314263523,-0.03844877406016527,0.08762696889068013,0.11119564557350144,-0.02455557709950275,-0.0026354281327981705,0.040350909392430745,-0.055737644224107305,-0.05271378359002532,0.0661247896075529,-0.0001416682054100199,0.017291540787431975,-0.06861980876988143,-0.027471375535117262,-0.04396935097964587,-0.14890207976836933,0.12110071682031515,0.1533539043504601,-0.03387228269597081
2019-01-14,-0.07096143611412295,-0.15275261439652932,-0.07342838293787461,-0.03350978014097254,0.05846099120141425,0.037021970755184534,-0.07937431589385276,0.05821967894135537,0.0615420720396299,0.02689442724626587,0.039868424461068586,0.14266568174640457,0.060474102592414994,0.022013507833360837,-0.09275494838676808,-0.13221640774667948,0.0022903827950339073,0.0073963761007198175,0.013094002617815868,0.1646345753483839,-0.02491329854762131,0.05285042453984301,-0.04799927989042432,0.04144254616157733,-0.09513076094134264,-0.06774631667188315,0.0018591766020300618,-0.0013125791231608716,-0.18829469643360425,-0.02895129729699754,-0.0700858808609175,-0.04412389208765287,-0.030726186034607902,0.07462346738846709,-0.02624361360591934,0.027179167781928595,0.004944082515853841,0.03375532211140711,-0.03890781721839891,0.1545190203566831,-0.0905003359021254,-0.04496842327900502,0.031140711747327538,-0.03127234923810325,-0.015234248230042255,-0.09131890823708487,-0.02070877289478712,0.019537825189507706,0.012893247046848688,-0.031852334474842786,-0.1156948061038889,-0.03892627421360016,0.10151961655374489,0.12072588241530073,-0.009257932717550037,-0.009560982699150504,0.04158863668231036,-0.03924795327282059,-0.05158258247100149,0.04468545126513418,-0.016828072555292853,0.01540363709305543,-0.03240526841819996,-0.045796570585273796,-0.037839170581662,-0.11148320434146321,0.16086254778039252,0.1674669907693123,-0.029673988362544895
2019-01-15,-0.03435273714962793,-0.15994308986915606,-0.011340487659538837,-0.021187845257385512,0.07500326982907839,0.07370061269414875,-0.0665270460796905,0.0458366031624118,0.0613468374046345,0.012705486119622807,0.0538677980009946,0.1163313666149217,0.047645211221019765,0.03542479275060144,-0.16021080854537723,-0.1822918111854041,-0.01670774099314075,-0.01863226130645263,-0.013055748267253205,0.18452776274909377,-0.04478953179800069,0.028986786312595075,-0.028849364058547565,0.07668889139554219,-0.08719056867073023,-0.07201362459615296,0.001701735405496823,-0.005484298158489505,-0.07748490839439395,0.09601181280981748,0.018526841273210637,-0.06101318298326702,-0.035282277956469384,0.06333547855602399,0.0075460048718134776,0.014609496935305628,-0.012157476720723565,0.06277059116022954,-0.03683674843067433,0.13429814162395032,-0.09957350576454181,-0.04413886479470758,0.09481346777445541,-0.008068132991885017,-0.06113054006654449,-0.10734204964077175,-0.023485185122477936,0.003818406305505232,-0.0028188064686076666,-0.04072844469295861,-0.08304952742454738,-0.04125686251169901,0.13566060030348223,0.13947546365037322,-0.009763936648654423,-0.024547018384000446,0.10284316249455251,-0.05362358577146127,-0.024930886280799237,0.03263536870133475,0.0442862155655126,-0.0004564073097032169,-0.014917666042561624,-0.045261295181863254,-0.027568779333879703,-0.10113329965348179,0.20627202101409758,0.12882696736296698,0.0021812735143903993
2019-01-16,-0.044103307381342646,-0.12593031175148287,-0.023444392652660427,-0.02408622806042575,0.024799933115029826,0.03332628167615345,-0.035038108143073086,0.059088074879807044,0.0497085655002977,0.007508739388799639,0.08679370258543478,0.09311178537410579,0.0494724083792647,0.03037132275879969,-0.1255683283196425,-0.20219601308304672,-0.029377914576281472,0.002637323984611733,-0.018666067529507696,0.1925980143598958,-0.053920918947240284,0.02381253960427171,-0.016643342070432193,0.08514106772419376,-0.09991826419448223,-0.10405597061717951,0.053495679986564855,-0.012951844488356505,-0.05458871936006238,0.1011826438358276,-0.009609582602897116,-0.06723513541286882,-0.04237296408123191,0.0938975277220468,-0.020577034488272514,-0.0004915207822627048,0.005812107493410355,0.14258043860624098,-0.03855414980415994,0.1346973970644717,-0.1200522631847363,0.02485038274737811,0.05471823088732158,-0.03075015706368809,-0.04491361448773595,-0.10038578459405234,-0.003084258649310355,0.009286927517684083,-0.022325794269911076,-0.02948536718200713,-0.08056291664699303,-0.01960629741456528,0.09839806395615126,0.12175620581791463,0.005121033517807721,-0.018986393025169315,0.05724824803998024,-0.049179894774301236,-0.02956663324392752,0.005348710795615419,0.05231587712048479,-0.01740647614557509,0.0021868365832198415,-0.04440644082229128,-0.034357456956336706,-0.06874553110289923,0.17942681710038721,0.11348146629851491,0.02327855107028332
2019-01-17,-0.04404403963123409,-0.03135280889936219,-0.023967554657413084,-0.035293017753679434,0.02176513455353707,0.01371360476287687,0.005179281942839748,0.0453758738921645,0.031244649320948472,-0.01476740789535107,0.08360607788115634,0.08474579122236639,0.02047036151963348,0.017691329504324678,-0.1249560682923655,-0.2112161047029151,-0.024197697096922925,-0.030892204365753802,-0.060039106733869495,0.15586236509345544,-0.07342925237998033,0.0074869547006105016,-0.005243741208687081,0.07556440740688058,-0.10642369500829016,-0.11730243801787185,0.04630458792420231,-0.017055626006353974,0.047186408110157126,0.07198428145460611,-0.030138501857931516,-0.055851612628427534,-0.04575776087588975,0.10476418842046442,0.001213604762876734,-0.027608709286710005,0.0037083388334404437,0.1486911832382131,-0.033044499975277745,0.13203421544989963,-0.11788740110468393,-0.00629973746527528,0.06773786055119002,-0.029425999790748093,-0.039838697986141335,-0.09667600562673359,-0.009916115090959889,-0.0026798378600739643,-0.028757437708165558,0.034715220271762146,-0.07878203223537797,-0.02846326598542237,0.12909822014749214,0.13201896047830455,-0.017649483295024193,-0.044785870578151386,0.03956911807086165,-0.06452252610483292,-0.02352969492386174,0.01258174285003006,0.03840054572888765,-0.01893945646161284,0.0007796360766958287,-0.05738164640374394,-0.020386991997566467,-0.06309305433663132,0.18554708571947576,0.12370959031084952,0.05927055094560529
2019-01-18,-0.07271870092668163,0.002502478533695049,-0.012766999185321832,-0.04053627223034796,0.07107858552577773,0.0124302812122425,0.013106094684911156,0.03679601351432629,0.028635793066579852,-0.009204537040816693,0.09306432009740673,0.08982638225906756,-0.035735688987411265,0.02014519889702495,-0.14776537050235106,-0.21912541295065582,-0.04017177466687395,-0.04328116866923054,0.019956717040565237,0.15056075352695455,-0.05797829758509701,0.011726533345697312,0.008611524479902962,0.08835387331940082,-0.1330747132383679,-0.0926900421408474,0.03295910748817195,-0.028944381860533917,0.0570091383035127,0.05407973687787067,-0.0356389171810233,-0.049568124315262044,-0.04355832371736412,0.09202336007495018,0.006769903853751941,-0.06861812275378683,-0.006312252085546855,0.13907968032699647,-0.009685792348779802,0.14313354021738833,-0.11195919313621475,-0.04257220140940596,0.0872783784300231,-0.04013328315767316,-0.05073808336669537,-0.10376325609423252,-0.025785975640902976,-0.0013601774470610138,-0.031909341429266935,0.006769903853751941,-0.015386331870322952,0.0198001228723269,0.10665099778954265,0.1280787625927784,-0.009817773871366401,-0.07612483298835329,0.026172888928378792,-0.05581900084041597,0.020178513592636872,0.02350389115900311,0.05004601258050448,0.006769903853751941,0.023063182876155212,-0.05352058669160302,-0.031593267501746874,-0.014142643674765195,0.16473392316046548,0.09374323203311026,0.0699224375945209
2019-01-21,-0.03299067527963997,0.03425227563464494,-0.027059275482367126,-0.043529863717661196,0.058671093220137915,0.016570638794901497,0.037456853549890895,0.03423055294900545,0.019114402169847944,-0.01940287959067704,0.10017574616396516,0.10049698191992264,-0.04758272715378461,0.02440309717619364,-0.1159151848185787,-0.2128321892990566,-0.037840085304509004,-0.05952986371766127,0.014287508219977992,0.20823484216469168,-0.10882924430954007,0.0026506059980372578,0.02115486931158467,0.09958764227754253,-0.15830483627529013,-0.053139418150366706,0.021201319078037555,-0.007590777423244894,0.06781447590498033,0.04939492736868978,-0.06388191736393103,-0.027964252857932838,-0.06479901032597638,0.0864777640474036,0.029765199428148092,-0.07371314489781323,0.023199696030766534,0.10772959333618835,0.01591278048194997,0.13005792254188073,-0.15649975794060664,-0.05264577727365337,0.11487702541043365,-0.04928947323566,-0.06642965049804501,-0.060408170595968064,-0.009949616804080928,-0.05326808361294917,0.007318262515080337,0.009520707244818396,0.03535771582511508,0.08413900664738633,0.10267538687899733,0.1434349925123707,0.019347920749527157,-0.08617887034017772,-0.008609689552203932,-0.05481191499971243,0.003426658021469186,-0.026269441411218244,0.024574013905960233,-0.01857774333462421,0.005283695604372729,-0.03888201499198293,-0.015384224428922913,0.02181126688662736,0.15653973175863298,0.06399050880853209,0.08837901295162406
2019-01-22,-0.005082989898898518,0.008555027743399071,-0.03238300939437455,-0.050408738204417075,0.04857299285278552,0.033052603321440444,0.028352573173716655,0.050928424416792184,0.032255529052873336,0.012289674493995538,0.0853635311294959,0.10115783692037354,-0.030199550776686672,0.04254594832568843,-0.1047478485136768,-0.1918343427141337,0.007194492886358428,-0.04594787339872482,0.03381810926746344,0.15402034525692435,-0.09355085147058284,-0.014915177620167232,-0.01192466448544409,0.10212825652448712,-0.15861847018464098,-0.08553357505339193,0.058775553132462605,0.007936933732027113,0.029533541737862698,0.03045256806672507,-0.08866685965959506,-0.012445067887805646,-0.07674351453919342,0.10730516036313996,0.015054312357971179,-0.050762697209205274,0.04319828490312633,0.07256556427665092,0.026287632351602502,0.10998808719240821,-0.17597654303267216,-0.061074854361862774,0.10570087545236646,-0.03747437527005417,-0.023670231233352018,-0.057806220698924285,-0.05286905566473468,-0.01745223110997906,-0.09919491934353947,0.0168181525518854,-0.011981333163593517,0.060285474629873596,0.08538297685559076,0.13243906758456503,0.005093411943724816,-0.045622091331439296,0.009432531636852629,-0.07138062789139069,0.012750324954645962,-0.023896078588675797,0.05511721201306821,0.0043836915880125955,0.007561813733963221,-0.03270940539319435,-0.015981812473143606,0.02883424103856215,0.12801064998508604,0.05021744499057339,0.06013347278027173
